 TITLE = "str_data "  
 VARIABLES = "X", "Y", "Z", "D", "P", "M", "S", 
ZONE I=   26, J=   18, K=    9, F=POINT  
 -3.4740e-01   7.5072e-02  -6.8791e-02   5.1091e-01   4.1617e-01   2.4685e+00   1.0656e+00 
 -3.6450e-01   7.9131e-02  -7.2510e-02   6.0631e-01   5.2775e-01   2.3225e+00   1.0633e+00 
 -3.8108e-01   8.1687e-02  -7.4853e-02   1.0448e+00   1.1139e+00   1.8682e+00   1.0476e+00 
 -3.9749e-01   8.2730e-02  -7.5808e-02   1.0928e+00   1.1826e+00   1.8305e+00   1.0444e+00 
 -4.1417e-01   8.3362e-02  -7.6387e-02   1.1092e+00   1.2062e+00   1.8192e+00   1.0433e+00 
 -4.3086e-01   8.3895e-02  -7.6876e-02   1.1196e+00   1.2209e+00   1.8126e+00   1.0424e+00 
 -4.4767e-01   8.4306e-02  -7.7252e-02   1.1278e+00   1.2326e+00   1.8080e+00   1.0416e+00 
 -4.6462e-01   8.4598e-02  -7.7520e-02   1.1478e+00   1.2628e+00   1.7918e+00   1.0411e+00 
 -4.8170e-01   8.4804e-02  -7.7709e-02   1.1983e+00   1.3401e+00   1.7529e+00   1.0402e+00 
 -4.9889e-01   8.4955e-02  -7.7847e-02   1.2699e+00   1.4531e+00   1.6983e+00   1.0400e+00 
 -5.1614e-01   8.5076e-02  -7.7958e-02   1.3208e+00   1.5350e+00   1.6604e+00   1.0398e+00 
 -5.3346e-01   8.5190e-02  -7.8062e-02   1.3218e+00   1.5382e+00   1.6565e+00   1.0409e+00 
 -5.5087e-01   8.5324e-02  -7.8185e-02   1.1954e+00   1.3446e+00   1.7367e+00   1.0473e+00 
 -5.6837e-01   8.5525e-02  -7.8369e-02   1.0650e+00   1.1453e+00   1.8378e+00   1.0487e+00 
 -5.8599e-01   8.5901e-02  -7.8714e-02   9.2415e-01   9.2576e-01   1.9995e+00   1.0339e+00 
 -6.0452e-01   8.7747e-02  -8.0405e-02   8.1110e-01   7.4759e-01   2.1812e+00   1.0022e+00 
 -6.2401e-01   9.1056e-02  -8.3437e-02   8.1547e-01   7.5355e-01   2.1748e+00   1.0026e+00 
 -6.4370e-01   9.4531e-02  -8.6621e-02   8.1745e-01   7.5641e-01   2.1713e+00   1.0030e+00 
 -6.6343e-01   9.8065e-02  -8.9860e-02   8.1763e-01   7.5687e-01   2.1703e+00   1.0033e+00 
 -6.8317e-01   1.0160e-01  -9.3103e-02   8.1601e-01   7.5532e-01   2.1703e+00   1.0040e+00 
 -7.0286e-01   1.0512e-01  -9.6322e-02   8.1466e-01   7.5409e-01   2.1697e+00   1.0047e+00 
